Trabajo,Empleador,Localizacion,Fecha
DevOps Tech Lead,BairesDev SA,Guayaquil,158
DevOps Architect,BairesDev SA,Guayaquil,120
Salesforce Tech Lead,BairesDev SA,Guayaquil,171
Salesforce Developer,BairesDev SA,Guayaquil,109
Salesforce Architect,BairesDev SA,Guayaquil,20
Angular Tech Lead,BairesDev SA,Guayaquil,194
Angular Developer,BairesDev SA,Guayaquil,119
Angular Architect,BairesDev SA,Guayaquil,179
Angular 8 Developer,BairesDev SA,Guayaquil,178
Java Tech Lead,BairesDev SA,Guayaquil,29
Java Developer,BairesDev SA,Guayaquil,131
Java Architect,BairesDev SA,Guayaquil,113
.NET Tech Lead,BairesDev SA,Guayaquil,141
.NET Developer,BairesDev SA,Guayaquil,194
.NET Architect,BairesDev SA,Guayaquil,46
Senior Project Manager,BairesDev SA,Guayaquil,150
React Tech Lead,BairesDev SA,Guayaquil,73
React Developer,BairesDev SA,Guayaquil,65
React Architect,BairesDev SA,Guayaquil,105
Node Developer,BairesDev SA,Guayaquil,11
Node Tech Lead,BairesDev SA,Guayaquil,85
Node Architect,BairesDev SA,Guayaquil,86
Python Tech Lead,BairesDev SA,Guayaquil,24
Python Developer,BairesDev SA,Guayaquil,37
Python Architect,BairesDev SA,Guayaquil,143
Asesor ventas,Hydraulic Automation S.A.,Guayaquil,149
1 Motorizado y 1 Cajera,Cacie Optical S.A.,Cuenca,42
Recepcionista,TH Competencia,Quito,175
Asesor ventas,Hydraulic Automation S.A.,Guayaquil,8
vendedor,DULCES GOXUA,Quito,183
Ejecutivo de ventas,Wanqara,Quito,19
Vendedor Mercaderista,"",Quito,63
Mercaderista,"",Quito,180
Bodeguero,"",Guayaquil,138
Diseñador gráfico ilustrador,"",Guayaquil,35
Asistente de Bodega,"",Cuenca,106
Asistente Contable,"",Guayaquil,65
Cajero Vendedor Estibador,"",Guayaquil,92
Cajero Vendedor,"",Cuenca,177
Auxiliar de servicios generales,"",Guayaquil,50
Vendedores/as,VERA CENTENO LEONILA ALEXANDRA,Quito,38
Marketing Digital,"",Quito,141
Asesor Técnico de Herramientas,Acero Comercial Ecuatoriano S.A.,Guayaquil,173
Chofer para Guayaquil,Optimoda,Guayaquil,173
Administrador/a de propiedad horizontal,Conjunto Parque Alegre,Quito,171
Coordinador Comercial de Repuestos,FOTON DEL ECUADOR ,Quito,176
Desarrollador Web FullStack Net Core y Angular,Data360,Quito,130
Bodeguero,"",Durán,165
Técnico de proyectos industriales (Expansión),"",Durán,11
Técnico de calidad  (QA),"",Durán,87
Oficial de Recuperación / Cobrador,"",Babahoyo,14
Gestor de presupuestos,"",Durán,122
Cajero,Cooperativa Jep,Sucúa,112
Operador de Equipo Industrial,"",Durán,143
Oficial de Recuperación / Cobrador,"",Gualaceo,5
Técnico de mantenimiento de equipos industriales,"",Durán,32
Monitor de Consola,Cooperativa Jep,Cuenca,184
Chequero,"",Durán,150
Oficial de Recuperación / Cobrador,"",Santa Isabel,131
Auxiliar de bodega,"",Durán,86
Médico veterinario,Fármacos Básicos (BASICFARM) S.A.,Quito,104
Profesional para atención al paciente en Call Center,"",Quito,111
Oficial de Negocios,"",Quito,170
Auxiliar de producción,"",Durán,168
Profesionales con especialidad en realización de Gasometrías Arteriales,"",Quito,116
Visitador/a médico,"",Quito,153
Asistente de Compras e Importaciones,"",Cuenca,160
Asistente contable,Fármacos Básicos (BASICFARM) S.A.,Quito,171
Cajero,Cooperativa Jep,Sucúa,30
Programador Junior SQL Server,Agrosoft S.A.,Guayaquil,25
Asesor Comercial,"",Ambato,125
Asesor/a call center,WOLFCENTER,Guayaquil,66
Oficial de crédito y cobranza,AUTECNA PARTS CIA LTDA,Quito,148
Vendedora en Mostrador,"",Guayaquil,102
Gestor de Importaciones,"",Durán,77
Se solicita personal para multinacional turística,Haydith Yanine Ruiz Ditta,Guayaquil,69
Asesor y Gestor al cliente,EDUPROYECT PROYECTO GLOBAL DEL ECUADOR S.A.,Quito,36
RecibIdor/a pagador,"",Babahoyo,184
Asistente de Mantenimiento,"",Guayaquil,111
Obrero de Planta con discapacidad,Italimentos Cía. Ltda.,Cuenca,85
Director General de Retail,Pervolare S. A.,Quito,10
Programa Jóvenes Talentos,Computadores y equipos,Guayaquil,54
Ingeniero en Sistemas,"",Cuenca,12
Médico veterinario,"",Guayaquil,164
Oficial de Cumplimiento,"",Latacunga,81
Ayudante de Instalación mecánica,COHECO S.A,Cuenca,86
Ingeniero en sistemas con experiencia en sistemas de seguridad,"",Quito,51
Cajero/a,Cooperativa Jep,Machala,164
Diseñador/a Community,"",Guayaquil,70
Programador Senior en .NET Core y Angular,Agrosoft S.A.,Guayaquil,132
Asesor Comercial,"",Guayaquil,36
Operador Call Center y Atención al cliente,Techsoft ,Quito,107
"Supervisor y Operador, de Callcenter y Servicio al Cliente",Techsoft ,Quito,135
Vendedor insumos textiles,Etiquetex S.A.,Ambato,134
Pasante de Diseño Gráfico,"",Quito,25
Vendedor/a ( fijo o por comisión),Cleantech,Quito,182
asesor comercial,Flexofama Cia. Ltda.,Quito,163
Consultor,IDIOMFA CIA LTDA,Cuenca,31
Asesor Comercial,PEGATANKE,Cuenca,56
Ejecutivo de Servicio al Cliente,Cooperativa Jep,Cuenca,144
Administrador de Tienda,"",Huaquillas,88
Administrador de Tienda,"",Machala,171
Asesor Comercial,Edificar,Quito,124
Asesor de ventas de campo,Talent Hunter,Machala,165
Ingeniero automotriz o técnico automotriz,Bombastic S.A.,Quito,193
Bodeguero,ASESORCAPT,Ambato,70
Recaudador,Estudio Jurídico Romero D & Asociados S.A.,Guayaquil,64
"Laboratorista o Bioquímico Clínico, con experiencia","",Guayaquil,168
Matricero/a,"",Guayaquil,114
Desarrollador Asp.Net,GuruSoft,Guayaquil,183
Technical Support Agent,GuruSoft,Guayaquil,8
Oficial de Negocios,Cooperativa Jep,Gualaceo,60
Pasante administrativo/a,ECUA CONSORCIO CONSORCIODELECUADOR S.A.,Quito,158
